invited,user_reco,evt_p_reco,evt_c_reco,user_pop,frnd_infl,evt_pop,interested,not_interested
0,0.0,0.980096976659,nan,0.000231013912558,0.0,-2.92638852563e-05,0,0
0,0.0,0.182186117328,nan,0.000231013912558,0.0,2.01189211137e-05,0,0
0,143.479932372,-1.0,nan,0.000231013912558,0.0,0.000278006909935,1,0
0,0.0,1.17501899955,nan,0.000231013912558,0.0,1.82899282852e-05,0,0
0,32.3806519189,2.23939890076e-07,nan,0.000231013912558,0.0,0.000110654066125,0,0
0,41.536137576,2.01518246978e-07,nan,0.000231013912558,0.0,0.000260631478064,0,0
0,0.0,1.70767512001,nan,0.000159726556711,0.0,2.92638852563e-05,0,0
0,4.37068049397,0.169797196278,nan,0.000159726556711,0.0,0.00118884533854,1,0
0,2.01078976029,-0.414712123924,nan,0.000159726556711,0.0,0.00146959573772,1,0
0,0.00016125922843,1.70767511991,2.84963532367,0.000159726556711,0.0,-9.1449641426e-07,0,0
0,1.92375969243e-06,-0.415488123365,nan,0.000159726556711,0.0,0.000138088958553,1,0
0,0.0,1.70767512001,nan,0.000159726556711,0.0,2.74348924278e-05,0,0
0,1.74708796099,0.583873323577,nan,0.000159726556711,0.0,0.000370371047775,0,0
0,0.0,-1.0,nan,7.63793098366e-05,0.0,0.000236854571293,1,0
0,0.0,-2.22044604925e-16,nan,7.63793098366e-05,0.0,-3.20073744991e-05,0,0
0,0.0,-2.22044604925e-16,nan,7.63793098366e-05,0.0,5.39552884413e-05,0,0
0,0.0,-2.22044604925e-16,1.0,7.63793098366e-05,0.0,1.82899282852e-05,0,0
0,0.0,0.602451917293,1.0,7.63793098366e-05,0.0,1.00594605569e-05,0,0
0,1.65077910359,-2.22044604925e-16,nan,7.63793098366e-05,0.0,-1.18884533854e-05,0,0
0,0.0,1.11022302463e-16,0.816885346861,1.52758619673e-05,0.0,1.92044246995e-05,0,0
0,0.0,0.725261633777,1.0,1.52758619673e-05,0.0,0.000116141044611,0,0
0,0.0,1.11022302463e-16,1.0,1.52758619673e-05,0.0,4.48103242987e-05,0,0
0,0.0,-1.0,-1.0,1.52758619673e-05,0.0,2.56058995993e-05,1,0
0,0.0,0.786476437044,1.0,1.52758619673e-05,0.0,1.46319426282e-05,0,0
0,0.0,1.11022302463e-16,1.0,1.52758619673e-05,0.0,3.47508637419e-05,0,0
0,0.0,0.780107070135,nan,0.000425580154458,0.0,3.10928780848e-05,0,0
0,0.0,2.18430518784e-06,nan,0.000425580154458,0.0,0.000553270330627,0,0
0,0.0,0.780107070135,nan,0.000425580154458,0.0,7.13307203122e-05,0,0
0,0.0,0.780107070135,nan,0.000425580154458,0.0,4.938280637e-05,0,0
0,0.0,-1.0,nan,0.000425580154458,0.0,7.77321952121e-05,1,0
0,0.0,0.780107070135,nan,0.000425580154458,0.0,0.000207590686037,0,0
0,1.67308499919,0.629898230938,nan,0.000313289169119,0.0,8.32191736976e-05,1,0
0,0.876867462703,0.629589684725,nan,0.000313289169119,0.0,0.000244170542607,1,0
0,0.0,3.03938088825,nan,0.000313289169119,0.0,6.95017274837e-05,0,0
0,1.90316246844,3.0393808867,nan,0.000313289169119,0.0,2.8349388842e-05,0,0
0,0.177488964027,3.0393808867,nan,0.000313289169119,0.0,-3.65798565704e-06,0,0
0,-1.51381008331,1.52590898634,nan,0.000313289169119,0.0,-0.000235940074879,0,0
0,6.95070355504,0.629260326855,nan,0.000313289169119,0.0,0.000142661440624,1,0
0,0.0,0.629568701379,nan,0.000313289169119,0.0,6.21857561697e-05,1,0
0,0.0,3.0393808867,nan,0.000313289169119,0.0,4.5724820713e-06,0,0
0,31.0596979807,1.62956463241,nan,0.000313289169119,0.0,0.00109739569711,0,0
0,0.0,3.03938088825,nan,0.000313289169119,0.0,4.5724820713e-06,0,0
0,0.0,3.03938088825,nan,0.000313289169119,0.0,8.50481665261e-05,0,0
