user,event,outcome,dist
1776192,2877501688,0.0,-2.142698853711931
1776192,3025444328,0.0,-2.1427077851097045
1776192,4078218285,0.0,-2.14270587743251
1776192,1024025121,0.0,-2.1427040564679154
1776192,2972428928,0.0,-2.142706310995509
1776192,2514143386,0.0,-2.142710820050695
1776192,1823369186,0.0,-2.1427083920979024
5161061,2027962693,0.0,-2.142714362911214
5161061,1652007005,0.0,-2.142701009170854
5161061,2169802745,0.0,-2.1427128887970186
5161061,319129729,0.0,-2.142687828855694
5161061,861989233,0.0,-2.1427050846630418
5161061,1926865450,0.0,-2.1427108944072244
5161061,3272920269,0.0,-2.142712802084419
5161061,1538046875,0.0,-2.1426954595644707
5161061,737935339,0.0,-2.1426912973596837
5161061,2098674667,0.0,-2.1427116748206223
7336598,1980837904,0.0,-2.1426959960300134
7336598,2428145712,0.0,-3.004570315795269
7336598,380501274,0.0,-2.1427055344159847
7336598,1820029797,0.0,-3.108814885808426
7336598,4125420656,0.0,-13.305108461020918
7336598,1501679119,0.0,-4.007554253832626
7514340,507707719,0.0,-2.1427135123448013
7514340,3841392405,0.0,-2.1427141193329997
7514340,4134671058,0.0,-2.1427159402975944
7514340,854823005,0.0,-2.1427131654944027
7514340,2696649330,0.0,-2.142715766872395
7514340,901144614,0.0,-2.142713425632202
15390083,907302600,0.0,-5.921991997409496
15390083,2643833505,0.0,-6.427706904963049
15390083,1361307272,0.0,-4.288634161775254
15390083,955398943,0.0,-19.035482039043533
15390083,771676713,0.0,-9.003377419437651
15390083,633659090,0.0,-4.727118418530554
15390083,2529072432,0.0,-14.348523435786891
16454810,968434069,0.0,-2.142684349080419
16454810,2006570293,0.0,-2.1426852162064165
16454810,761140108,0.0,-2.1426847826434177
16454810,589257919,0.0,-2.142686343470213
16454810,1779618386,0.0,-2.142672296029055
16454810,665321720,0.0,-2.142685563056815
18236457,3214494361,0.0,-2.1427130342418135
18236457,3004007968,0.0,-2.1427104328638213
18236457,452781702,0.0,-2.1427163293206033
18236457,2077156568,0.0,-2.1427103461512216
18236457,1703679230,0.0,-2.1427144216434093
18236457,3553950281,0.0,-2.1427139013678107
18236457,2353399295,0.0,-2.142712860816614
20018153,3592182997,0.0,-3.6650034830086464
20018153,3583332424,0.0,-2.1427153639803853
20018153,2053692105,0.0,-2.1427029640786226
20018153,2410772923,0.0,-2.1427108549251987
20018153,63412025,0.0,-2.1427116353385967
20018153,464565286,0.0,-2.142707559846409
23465780,2529072432,0.0,-14.348529674324947
23465780,3017074183,0.0,-2.142683312490332
23465780,602394192,0.0,-3.2966380663763495
23465780,955398943,0.0,-19.03548827758159
23465780,3807695143,0.0,-2.1426954522542956
23465780,2414358105,0.0,-2.142692590738504
23465780,1600413013,0.0,-12.913440780461038
30355949,2860418664,0.0,-2.0942427785973754
30355949,438768882,0.0,-2.14269774602151
30355949,4294209504,0.0,-2.1426936705293222
30355949,1773230862,0.0,-2.142693150253724
30355949,3404987729,0.0,-2.239755006292525
30355949,661460159,0.0,-2.142700780962501
30355949,955398943,0.0,-19.03403803073522
33509612,794450376,0.0,-2.1427069332384003
33509612,4203627753,0.0,-8.00800617283241
33509612,2668074570,0.0,-2.1427068465258006
33509612,966971643,0.0,-5.611209877410875
33509612,2428145712,0.0,-3.0135367508953737
33509612,1860511950,0.0,-2.1427038115848096
35565661,378408397,0.0,-2.1427147206511887
35565661,652541886,0.0,-2.142712986399194
35565661,2139975650,0.0,-2.1427190562811758
35565661,3655418763,0.0,-2.142714547225989
35565661,275437483,0.0,-2.1427158479149853
35565661,2036167774,0.0,-2.142715934627585
37106093,3306999925,0.0,-2.1426980209635604
37106093,2692070381,0.0,-2.1426967202802603
37106093,2198898969,0.0,-2.1426913834645527
37106093,1617391894,0.0,-2.1426817189948095
37106093,3336783567,0.0,-2.1426863147625954
37106093,3931717290,0.0,-2.1426890028531873
37106093,4096532695,0.0,-2.142698714664358
38395056,200617654,0.0,-2.142698532959366
38395056,1580455386,0.0,-2.1426927232151836
38395056,3252432592,0.0,-3.099795588110663
38395056,677485601,0.0,-3.0997861364372916
38395056,1278585786,0.0,-2.1426924630773847
38395056,3415281246,0.0,-2.142692896640383
43826519,4292059849,0.0,-2.142707939446337
43826519,1788874248,0.0,-2.142704817792746
43826519,605300738,0.0,-2.14270698560774
